id,case_name,author,source_title,source_url,published_date,scope,article_type,genre,views,likes,like_rate,likes_per_1000_views,like_rate_band,data_quality,include_in_average,evidence,feature_notes
haru_1000,1000ビュー時点のアカウント全体,haru,noteの仕組みがちょっとわかった？3000ビュー達成と,https://note.com/haru_5963_/n/na2fdf3ef83eb,2026-03-05,account_period,運用報告,仕事・ライフログ,1053,152,14.4349477683,144.349477683,優秀 (10-15%),exact,True,"1,000ビュー時点：総ビュー1,053、スキ152、コメント2、記事数8本",初期投稿で強い反応。感情を書いた記事にスキが来ると分析。
haru_3000,3000ビュー時点のアカウント全体,haru,noteの仕組みがちょっとわかった？3000ビュー達成と,https://note.com/haru_5963_/n/na2fdf3ef83eb,2026-03-05,account_period,運用報告,仕事・ライフログ,3028,340,11.2285336856,112.285336856,優秀 (10-15%),exact,True,"3,000ビュー時点：総ビュー3,028、スキ340、コメント6、記事数40本",記事数増でビューが伸び、平均スキ率はやや低下。
shirokuro_total,31日間アカウント全体,shirokuro,初心者主婦がnoteを始めて1か月。5000ビュー・1000スキまでの記録,https://note.com/shirokuro3215/n/n1d77403d3c18,2026-04-11,account_period,運用報告,主婦・AI活用,5000,1000,20.0,200.0,非常に優秀 (15%+),exact,True,31日間の結果...5000ビュー・1000スキ,初心者向け・AI活用・実体験の組み合わせ。高い共感率。
yu_shiro_worst,最低ビューの記事,ゆうしろう,初の1記事ビュー数1000超え,https://note.com/yu_shiro_h/n/ne7491e85845e,2025-02-18,article,個人エッセイ,読書・内省,18,4,22.2222222222,222.222222222,非常に優秀 (15%+),exact,True,最低ビューの記事はわずか18ビュー...4人の方からスキ...スキ比は22.2%,母数は小さいが、限られた読者には刺さった例。
gentle_featured,今日の注目記事に選ばれた記事,紳士パジャマ,スキ率が高い＝良い記事と聞きまして・・・,https://note.com/gentle_pajamas/n/n0d676dc21373,2025-03-28,article,公式露出・注目記事,エッセイ,10300,237,2.3,23.0,標準下限 (2-5%),estimated_from_rate,False,ビュー数がダントツ(10300ビュー)となったこちらの記事のスキ率は2.3％,公式露出でビューは増えるが、率は低下。スキ数はビュー×率からの推定。
lush_current,2万ビュー・3000スキ達成記事,ゆうき,2万ビュー、3000スキ達成で見えた、note記事の「伸びる構造」,https://note.com/lush_whale7372/n/n41556293b8cf,2026-03-19,article,共感・専門性ミックス,医療・子育て,20694,3001,14.5027544216,145.027544216,優秀 (10-15%),exact,True,"ビュー数：20,694、スキ数：3,001、2万ビュー、3000スキを達成",時短勤務、子育て、メンタルなど強い共感テーマと専門性を組み合わせ。
lush_previous,1万ビュー・2000スキ達成記事,ゆうき,2万ビュー、3000スキ達成で見えた、note記事の「伸びる構造」,https://note.com/lush_whale7372/n/n41556293b8cf,2026-03-19,article,共感・専門性ミックス,医療・子育て,10000,2000,20.0,200.0,非常に優秀 (15%+),exact,True,1万ビュー、2000スキを頂くまで2ヶ月かかった,高ビューかつ高スキ率。専門性よりも読後感と共感導線が重視されている。
dai_total,アカウント全体・2000ビュー200スキ,DAI,スキ200超えを達成しました。ありがとう…,https://note.com/dai6769/n/n8347293efb27,2025-03-04,account_period,運用報告,ライフログ,2000,200,10.0,100.0,優秀 (10-15%),approximate,False,"全体ビュー2,000超え、スキ200超えを達成",超え表現のため近似値。
shiroi_community_benchmark,通常コミュニティ向け記事11件の目安,shiroi_ze,noteはどの程度フォロワー「以外」の人まで届いているのか,https://note.com/shiroi_ze/n/nf33adf22c80e,2026-05-04,benchmark,コミュニティ向け記事,音楽・テック,22150,2215,10.0,100.0,優秀 (10-15%),estimated_from_rate,False,"全11記事へのスキの合計: 2,215件...スキ数をビュー数で割った数字はだいたい0.1前後",ビュー数はスキ合計÷0.1で推定。補助ベンチマーク扱い。
shiroi_search_benchmark,検索エンジン経由記事の目安,shiroi_ze,noteはどの程度フォロワー「以外」の人まで届いているのか,https://note.com/shiroi_ze/n/nf33adf22c80e,2026-05-04,benchmark,検索流入型,音楽・テック,,,1.0,10.0,低い (<2%),rate_only,False,サーチエンジン経由で0.01くらい,検索流入ではスキ率が1%程度まで低下するという補助ベンチマーク。
yu_shiro_rate_01,憧れのkindle作家に憧れない,ゆうしろう,初の1記事ビュー数1000超え,https://note.com/yu_shiro_h/n/ne7491e85845e,2025-02-18,rate_only_article,個人エッセイ,読書・内省,,,19.6,196.0,非常に優秀 (15%+),rate_only,False,①『憧れのkindle作家に憧れない』 スキ比：19.6%,内面や考え方を扱う記事。
yu_shiro_rate_02,読むだけで、ほんわか幸せ気分になるnote,ゆうしろう,初の1記事ビュー数1000超え,https://note.com/yu_shiro_h/n/ne7491e85845e,2025-02-18,rate_only_article,個人エッセイ,読書・内省,,,17.3,173.0,非常に優秀 (15%+),rate_only,False,②『読むだけで、ほんわか幸せ気分になるnote』 スキ比：17.3%,ポジティブな読後感を前面に出す。
yu_shiro_rate_03,#103. 読書を目的とした旅,ゆうしろう,初の1記事ビュー数1000超え,https://note.com/yu_shiro_h/n/ne7491e85845e,2025-02-18,rate_only_article,体験エッセイ,読書・内省,,,16.8,168.0,非常に優秀 (15%+),rate_only,False,③『#103. 「読書を目的とした旅」読書休暇を満喫した話』 スキ比：16.8%,個人的な体験の具体性。
gentle_rate_01,スキ率1位記事,紳士パジャマ,スキ率が高い＝良い記事と聞きまして・・・,https://note.com/gentle_pajamas/n/n0d676dc21373,2025-03-28,rate_only_article,短文エッセイ,エッセイ,,,42.3,423.0,非常に優秀 (15%+),rate_only,False,第一位 スキ率 42.3％。ビューが20以下の記事は除外。,1000文字未満のあっさりした内容が高率に入りやすいと著者が分析。
gentle_rate_02,スキ率2位記事,紳士パジャマ,スキ率が高い＝良い記事と聞きまして・・・,https://note.com/gentle_pajamas/n/n0d676dc21373,2025-03-28,rate_only_article,短文エッセイ,エッセイ,,,28.3,283.0,非常に優秀 (15%+),rate_only,False,第二位 スキ率 28.3％。ビューが20以下の記事は除外。,母数が小さい記事ほど率は高く出やすい。
